id,商品名称,品牌,型号,功效,产地,适用发质,化妆品净含量
562341556739,RYO/吕 红吕洗发水 ,RYO/吕 ,,去头屑 染烫受损护理 滋润 防脱 损伤修复 ,韩国 ,受损发质 ,500ml 
576115315055,阿道夫 轻柔丝滑洗发水 ,阿道夫 ,轻柔丝滑洗发水 ,深度清洁 滋润 补水 ,中国大陆 ,,
525333079159,阿道夫 洗护沐(祛屑+护发+魅力) ,阿道夫 ,洗护沐(祛屑+护发+魅力) ,柔软顺滑 去屑止痒 改善毛躁 改善头痒 舒缓肌肤 ,中国大陆 ,所有发质 ,
589190438938,CLEAR/清扬 去屑净透洗发露(海藻菁萃型) ,CLEAR/清扬 ,去屑净透洗发露(海藻菁萃型) ,深度滋养 去屑止痒 深度清洁 控油 ,中国大陆 ,正常发质 ,
538971274196,包邮CLEAR/清扬去屑洗发露樱花沁爽型洗发水男女士樱花香氛1000克 ,CLEAR/清扬 ,清扬洗发水组合-00100 ,去屑 清洁发丝头皮 ,中国大陆 ,,
527895746499,清扬去屑洗发水露樱花香氛持久留香洗头膏男女士旗舰店官方旗舰 ,CLEAR/清扬 ,清扬樱花沁爽组合-2 ,去屑 ,中国大陆 ,所有发质 ,
560319367153,沙宣 臻养裸感洗发水2支装 ,沙宣 ,臻养裸感洗发水2支装 ,,中国大陆 ,,
520807771447,联合利华多芬密集滋养修护洗发水精华护发素男女士正品700ml*2 ,Dove/多芬 ,密集滋养修护洗护套装 ,柔软顺滑 深度清洁 滋润营养 ,中国大陆 ,所有发质 ,
528278617580,L＇oreal/欧莱雅 男士去屑洗发露(薄荷酷爽) ,L'OREAL /欧莱雅 ,,去头屑 ,中国 ,所有发质 ,200mL 
529055075035,L＇oreal/欧莱雅 男士去屑洗发露(氨基酸养护) ,L'OREAL /欧莱雅 ,,改善头痒 强根健发 损伤修复 去头屑 ,中国 ,,700mL 
546606413632,Dove/多芬 密集滋养修护洗发乳 ,Dove/多芬 ,密集滋养修护洗发乳 ,柔软顺滑 改善毛躁 ,中国大陆 ,所有发质 ,
521736799524,霸王 防脱洗发液滋润调理型 ,霸王 ,防脱洗发液滋润调理型 ,滋润 改善毛躁 防脱发 ,中国大陆 ,所有发质 ,
575053770486,沙宣 沙宣养根韧发裸感洗发水 ,沙宣 ,沙宣养根韧发裸感洗发水 ,滋润营养 强韧防断发 滋润 ,中国大陆 ,,
545947000081,SEEYOUNG/滋源 生姜劲能强韧养护洗头水(男士) ,SEEYOUNG/滋源 ,,清洁 发色亮泽 清透润泽光泽亮丽 温和清洁、修护 头皮控油 ,中国 ,所有发质 ,男士535ml 
39280073498,欧莱雅洗发水男女去屑止痒控油无硅洗发露护发素600ml*2洗护套装 ,L'OREAL /欧莱雅 ,去屑控油洗发水600mL+护发素600mL套装 ,柔软顺滑 去屑止痒 深层修复 深度清洁 滋润营养 ,中国大陆 ,所有发质 ,
532059389990,霸王 无患子平衡控油洗发液 ,霸王 ,无患子平衡控油洗发液 ,去屑止痒 深度清洁 改善头痒 控油 ,中国大陆 ,油性 ,
583275098441,【大油头】triptychoflune三谷氨基酸洗发水护发素套装女控油无硅 ,TriptychOfLune/三谷 ,,去头屑 头皮舒缓 控油 改善头痒 深层清洁 ,,所有发质 ,
561911693317,霸王 霸王乌发固发洗发液1L ,霸王 ,霸王乌发固发洗发液1L ,深度滋养 深层修复 滋润营养 浓密 ,中国大陆 ,所有发质 ,
589655349740,芭思蔻氨基酸香水洗发水露护发素蓬松清爽控油去屑止痒洗护女套装 ,芭思蔻 ,,深层滋养头皮、清洁 丰盈蓬松 改善头痒 强韧防断发 头皮舒缓 ,中国 ,,500ml+500ml 粉色女神香洗护（滋润补水） 500ml+500ml 蓝色海洋香洗护（控油去屑） 500ml+500ml 黄色活力香洗护（深层修护） 500ml粉色女神香洗发水（滋润补水） 500ml蓝色海洋香洗发水（控油去屑） 500ml黄色活力香洗发水（深层修护） 
570891096857,【贝亲官方专卖店】贝亲桃叶精华婴儿洗发水沐浴露二合一500ml ,Pigeon/贝亲 ,,,中国大陆 ,,
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,TriptychOfLune/三谷 ,,保湿 损伤修复 染后护色 柔顺润滑 滋润 ,,,
576891611014,潘婷洗发水大于1000ml正品乳液修护去屑止痒控油旗舰店官方旗舰 ,潘婷 ,乳液修复洗发露230ml*4袋套装 ,深度滋养 深度清洁 滋润营养 烫染修复 改善毛躁 ,中国大陆 ,,
594203333226,小苍兰洗发水香味持久留香水男女去屑控油止痒护发素沐浴露套装膏 ,魔香 ,,温和清洁、修护 去头屑 滋润 保湿 控油 ,中国 ,所有发质 ,【上新促销买1送1】小苍兰香氛洗发水500ML（送同款洗发水） 【上新促销买1送1】小苍兰香氛洗发水500ML（送同款护发素） 【上新促销买1送1】小苍兰香氛洗发水500ML（送同款沐浴露） 【500ML+500ML+500ML】小苍兰洗发水两瓶装+护发素 【500ML+500ML+500ML】小苍兰洗发水两瓶装+沐浴露 【500ML+500ML+500ML】小苍兰香氛洗护沐三件套【热卖推荐】 【800ML+800ML+800ML】小苍兰香氛洗护沐三件套【热卖推荐】 
532906826419,丝域（化妆品） 头皮清洁乳 ,丝域（化妆品） ,,头皮控油 ,中国 ,所有发质 ,凉凉头皮清洁霜 98g 暖暖头皮清洁霜98g 
575242550232,HairRecipe发之食谱无花果无硅油控油去油洗发水护发素530套装 ,HAIR RECIPE ,,深层滋养头皮、清洁 丰盈蓬松 ,中国 ,所有发质 ,其他/other 
535908343223,多芬洗发水滋养水润修护700ml洗发乳护发素套装男女士洗护套包邮 ,Dove/多芬 ,深度损伤理护洗发乳/露700ml套装 ,清洁发丝头皮 ,中国大陆 ,,
547167298636,【屈臣氏】施华蔻beology赋芮深海臻润洗护套装（洗发+润发)400ml ,Schwarzkopf/施华蔻 ,赋芮深海臻润洗发露+其他2套装 ,滋润 ,中国大陆 ,,
527093328880,伊卡璐 洋甘菊修护柔亮无硅油洗发露 ,伊卡璐 ,洋甘菊修护柔亮无硅油洗发露 ,深度滋养 柔软顺滑 去屑止痒 深层修复 ,美国 ,,
579212606320,杨幂力荐Lux力士桃花沁香洗发水护发素男女士套装500ml*2 ,LUX/力士 ,,改善毛躁 ,,,
586674056395,满婷 满婷洗发水 ,满婷 ,满婷洗发水 ,柔软顺滑 去屑止痒 其他 深度清洁 ,中国大陆 ,,
540713116041,多芬滋养洗发水洗发露液洗头膏护发素持久留香家庭套装男女士正品 ,Dove/多芬 ,多芬滋养水润洗发乳700ml套装 ,其他 滋润 ,中国大陆 ,所有发质 ,
536238585235,Selsun 去屑洗发水-通用型 ,Selsun ,去屑洗发水-通用型 ,去屑止痒 改善头痒 去屑 ,澳大利亚 ,所有发质 ,
540205144123,徽歌 小黑裙香水洗发水+沐浴露 ,徽歌 ,小黑裙香水洗发水+沐浴露 ,深度滋养 柔软顺滑 滋润营养 改善毛躁 滋润 ,中国大陆 ,,
39242557794,COCOESSENCE/遇见香芬 水润蛋白滋养双效香芬洗发露 ,COCOESSENCE/遇见香芬 ,水润蛋白滋养双效香芬洗发露 ,改善毛躁 柔软顺滑 ,中国大陆 ,所有发质 ,
557504582684,日本熊野油脂去屑男女柔顺顺滑洗发水修复干枯毛躁护发素套装正品 ,熊野油脂 ,沙龙植物精华洗护套装 ,深度滋养 防脱发 柔软顺滑 控油 滋润 ,日本 ,所有发质 ,
