id,商品名称,天猫标签,标签数量,舆情正负
562341556739,RYO/吕 红吕洗发水 ,很便宜,35,1
562341556739,RYO/吕 红吕洗发水 ,质量好,28,1
562341556739,RYO/吕 红吕洗发水 ,味道好闻,24,1
562341556739,RYO/吕 红吕洗发水 ,快递不错,21,1
562341556739,RYO/吕 红吕洗发水 ,包装不错,14,1
562341556739,RYO/吕 红吕洗发水 ,味道不好闻,6,-1
576115315055,阿道夫 轻柔丝滑洗发水 ,气味不错,19,1
576115315055,阿道夫 轻柔丝滑洗发水 ,实惠,13,1
576115315055,阿道夫 轻柔丝滑洗发水 ,送了赠品,12,1
576115315055,阿道夫 轻柔丝滑洗发水 ,质量好,7,1
576115315055,阿道夫 轻柔丝滑洗发水 ,顺滑度不错,5,1
576115315055,阿道夫 轻柔丝滑洗发水 ,快递不错,3,1
559700412783,【直营】RYOE 黄吕 防脱固发滋养洗发水 500毫升*3瓶 ,包装很好,6,1
559700412783,【直营】RYOE 黄吕 防脱固发滋养洗发水 500毫升*3瓶 ,划算,3,1
538971274196,包邮CLEAR/清扬去屑洗发露樱花沁爽型洗发水男女士樱花香氛1000克 ,便宜,26,1
538971274196,包邮CLEAR/清扬去屑洗发露樱花沁爽型洗发水男女士樱花香氛1000克 ,气味不错,22,1
538971274196,包邮CLEAR/清扬去屑洗发露樱花沁爽型洗发水男女士樱花香氛1000克 ,质量好,12,1
538971274196,包邮CLEAR/清扬去屑洗发露樱花沁爽型洗发水男女士樱花香氛1000克 ,物流快,11,1
538971274196,包邮CLEAR/清扬去屑洗发露樱花沁爽型洗发水男女士樱花香氛1000克 ,和描述一致,9,1
538971274196,包邮CLEAR/清扬去屑洗发露樱花沁爽型洗发水男女士樱花香氛1000克 ,洗发水很好用,4,1
527895746499,清扬去屑洗发水露樱花香氛持久留香洗头膏男女士旗舰店官方旗舰 ,气味不错,15,1
527895746499,清扬去屑洗发水露樱花香氛持久留香洗头膏男女士旗舰店官方旗舰 ,快递不错,10,1
527895746499,清扬去屑洗发水露樱花香氛持久留香洗头膏男女士旗舰店官方旗舰 ,质量很好,9,1
527895746499,清扬去屑洗发水露樱花香氛持久留香洗头膏男女士旗舰店官方旗舰 ,服务态度好,8,1
527895746499,清扬去屑洗发水露樱花香氛持久留香洗头膏男女士旗舰店官方旗舰 ,很便宜,7,1
527895746499,清扬去屑洗发水露樱花香氛持久留香洗头膏男女士旗舰店官方旗舰 ,人群,4,1
560319367153,沙宣 臻养裸感洗发水2支装 ,气味不错,36,1
560319367153,沙宣 臻养裸感洗发水2支装 ,质量不错,28,1
560319367153,沙宣 臻养裸感洗发水2支装 ,快递不错,25,1
560319367153,沙宣 臻养裸感洗发水2支装 ,态度不错,24,1
560319367153,沙宣 臻养裸感洗发水2支装 ,划算,23,1
560319367153,沙宣 臻养裸感洗发水2支装 ,顺滑度一般,4,-1
520807771447,联合利华多芬密集滋养修护洗发水精华护发素男女士正品700ml*2 ,质量不错,9,1
520807771447,联合利华多芬密集滋养修护洗发水精华护发素男女士正品700ml*2 ,包装挺好,7,1
520807771447,联合利华多芬密集滋养修护洗发水精华护发素男女士正品700ml*2 ,很划算,6,1
520807771447,联合利华多芬密集滋养修护洗发水精华护发素男女士正品700ml*2 ,顺滑度不错,6,1
520807771447,联合利华多芬密集滋养修护洗发水精华护发素男女士正品700ml*2 ,快递不错,6,1
520807771447,联合利华多芬密集滋养修护洗发水精华护发素男女士正品700ml*2 ,气味不错,5,1
528278617580,L＇oreal/欧莱雅 男士去屑洗发露(薄荷酷爽) ,味道好闻,16,1
528278617580,L＇oreal/欧莱雅 男士去屑洗发露(薄荷酷爽) ,质量好,15,1
528278617580,L＇oreal/欧莱雅 男士去屑洗发露(薄荷酷爽) ,物流快,12,1
528278617580,L＇oreal/欧莱雅 男士去屑洗发露(薄荷酷爽) ,实惠,10,1
528278617580,L＇oreal/欧莱雅 男士去屑洗发露(薄荷酷爽) ,服务不错,9,1
528278617580,L＇oreal/欧莱雅 男士去屑洗发露(薄荷酷爽) ,质量一般,5,-1
529055075035,L＇oreal/欧莱雅 男士去屑洗发露(氨基酸养护) ,味道好闻,11,1
529055075035,L＇oreal/欧莱雅 男士去屑洗发露(氨基酸养护) ,快递不错,9,1
529055075035,L＇oreal/欧莱雅 男士去屑洗发露(氨基酸养护) ,质量不错,8,1
529055075035,L＇oreal/欧莱雅 男士去屑洗发露(氨基酸养护) ,服务态度好,5,1
529055075035,L＇oreal/欧莱雅 男士去屑洗发露(氨基酸养护) ,清洁度强,3,1
529055075035,L＇oreal/欧莱雅 男士去屑洗发露(氨基酸养护) ,包装挺好,3,1
546606413632,Dove/多芬 密集滋养修护洗发乳 ,很划算,21,1
546606413632,Dove/多芬 密集滋养修护洗发乳 ,质量不错,14,1
546606413632,Dove/多芬 密集滋养修护洗发乳 ,气味不错,7,1
546606413632,Dove/多芬 密集滋养修护洗发乳 ,顺滑度不错,6,1
546606413632,Dove/多芬 密集滋养修护洗发乳 ,价格贵,5,-1
546606413632,Dove/多芬 密集滋养修护洗发乳 ,包装差,4,-1
521736799524,霸王 防脱洗发液滋润调理型 ,服务不错,16,1
521736799524,霸王 防脱洗发液滋润调理型 ,气味不错,16,1
521736799524,霸王 防脱洗发液滋润调理型 ,质量很好,15,1
521736799524,霸王 防脱洗发液滋润调理型 ,物流快,10,1
521736799524,霸王 防脱洗发液滋润调理型 ,很便宜,9,1
521736799524,霸王 防脱洗发液滋润调理型 ,发膜很好用,3,1
575053770486,沙宣 沙宣养根韧发裸感洗发水 ,气味不错,90,1
575053770486,沙宣 沙宣养根韧发裸感洗发水 ,便宜,42,1
575053770486,沙宣 沙宣养根韧发裸感洗发水 ,质量很好,35,1
575053770486,沙宣 沙宣养根韧发裸感洗发水 ,物流快,28,1
575053770486,沙宣 沙宣养根韧发裸感洗发水 ,洗发水很香,26,1
575053770486,沙宣 沙宣养根韧发裸感洗发水 ,气味一般,14,-1
545947000081,SEEYOUNG/滋源 生姜劲能强韧养护洗头水(男士) ,便宜,23,1
545947000081,SEEYOUNG/滋源 生姜劲能强韧养护洗头水(男士) ,质量不错,20,1
545947000081,SEEYOUNG/滋源 生姜劲能强韧养护洗头水(男士) ,快递不错,17,1
545947000081,SEEYOUNG/滋源 生姜劲能强韧养护洗头水(男士) ,包装挺好,16,1
545947000081,SEEYOUNG/滋源 生姜劲能强韧养护洗头水(男士) ,味道好闻,15,1
545947000081,SEEYOUNG/滋源 生姜劲能强韧养护洗头水(男士) ,清洁度不好,4,-1
39280073498,欧莱雅洗发水男女去屑止痒控油无硅洗发露护发素600ml*2洗护套装 ,气味不错,17,1
39280073498,欧莱雅洗发水男女去屑止痒控油无硅洗发露护发素600ml*2洗护套装 ,顺滑度不错,8,1
39280073498,欧莱雅洗发水男女去屑止痒控油无硅洗发露护发素600ml*2洗护套装 ,包装不错,6,1
39280073498,欧莱雅洗发水男女去屑止痒控油无硅洗发露护发素600ml*2洗护套装 ,洗发水不错,6,1
39280073498,欧莱雅洗发水男女去屑止痒控油无硅洗发露护发素600ml*2洗护套装 ,质量好,6,1
39280073498,欧莱雅洗发水男女去屑止痒控油无硅洗发露护发素600ml*2洗护套装 ,不划算,5,-1
532059389990,霸王 无患子平衡控油洗发液 ,气味不错,131,1
532059389990,霸王 无患子平衡控油洗发液 ,质量好,58,1
532059389990,霸王 无患子平衡控油洗发液 ,物流快,34,1
532059389990,霸王 无患子平衡控油洗发液 ,实惠,26,1
532059389990,霸王 无患子平衡控油洗发液 ,包装不错,23,1
532059389990,霸王 无患子平衡控油洗发液 ,质量一般,7,-1
583275098441,【大油头】triptychoflune三谷氨基酸洗发水护发素套装女控油无硅 ,气味不错,1809,1
583275098441,【大油头】triptychoflune三谷氨基酸洗发水护发素套装女控油无硅 ,包装不错,567,1
583275098441,【大油头】triptychoflune三谷氨基酸洗发水护发素套装女控油无硅 ,质量好,493,1
583275098441,【大油头】triptychoflune三谷氨基酸洗发水护发素套装女控油无硅 ,洗头膏很棒,261,1
583275098441,【大油头】triptychoflune三谷氨基酸洗发水护发素套装女控油无硅 ,顺滑度不错,238,1
583275098441,【大油头】triptychoflune三谷氨基酸洗发水护发素套装女控油无硅 ,不便宜,165,-1
561911693317,霸王 霸王乌发固发洗发液1L ,质量不错,55,1
561911693317,霸王 霸王乌发固发洗发液1L ,气味不错,31,1
561911693317,霸王 霸王乌发固发洗发液1L ,包装挺好,21,1
561911693317,霸王 霸王乌发固发洗发液1L ,态度不错,18,1
561911693317,霸王 霸王乌发固发洗发液1L ,很划算,16,1
561911693317,霸王 霸王乌发固发洗发液1L ,洗发水好用,16,1
589655349740,芭思蔻氨基酸香水洗发水露护发素蓬松清爽控油去屑止痒洗护女套装 ,味道好闻,132,1
589655349740,芭思蔻氨基酸香水洗发水露护发素蓬松清爽控油去屑止痒洗护女套装 ,服务不错,53,1
589655349740,芭思蔻氨基酸香水洗发水露护发素蓬松清爽控油去屑止痒洗护女套装 ,包装不错,50,1
589655349740,芭思蔻氨基酸香水洗发水露护发素蓬松清爽控油去屑止痒洗护女套装 ,清洁度强,22,1
589655349740,芭思蔻氨基酸香水洗发水露护发素蓬松清爽控油去屑止痒洗护女套装 ,质量好,21,1
589655349740,芭思蔻氨基酸香水洗发水露护发素蓬松清爽控油去屑止痒洗护女套装 ,味道不好闻,6,-1
570891096857,【贝亲官方专卖店】贝亲桃叶精华婴儿洗发水沐浴露二合一500ml ,态度不错,26,1
570891096857,【贝亲官方专卖店】贝亲桃叶精华婴儿洗发水沐浴露二合一500ml ,气味不错,17,1
570891096857,【贝亲官方专卖店】贝亲桃叶精华婴儿洗发水沐浴露二合一500ml ,很划算,8,1
570891096857,【贝亲官方专卖店】贝亲桃叶精华婴儿洗发水沐浴露二合一500ml ,人群,7,1
570891096857,【贝亲官方专卖店】贝亲桃叶精华婴儿洗发水沐浴露二合一500ml ,包装不错,7,1
570891096857,【贝亲官方专卖店】贝亲桃叶精华婴儿洗发水沐浴露二合一500ml ,质量好,5,1
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,气味不错,508,1
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,包装挺好,263,1
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,顺滑度不错,197,1
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,质量不错,153,1
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,洗发水很香,133,1
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,气味一般,59,-1
576891611014,潘婷洗发水大于1000ml正品乳液修护去屑止痒控油旗舰店官方旗舰 ,很便宜,80,1
576891611014,潘婷洗发水大于1000ml正品乳液修护去屑止痒控油旗舰店官方旗舰 ,质量不错,33,1
576891611014,潘婷洗发水大于1000ml正品乳液修护去屑止痒控油旗舰店官方旗舰 ,与描述相符,17,1
576891611014,潘婷洗发水大于1000ml正品乳液修护去屑止痒控油旗舰店官方旗舰 ,服务好,14,1
576891611014,潘婷洗发水大于1000ml正品乳液修护去屑止痒控油旗舰店官方旗舰 ,气味不错,14,1
576891611014,潘婷洗发水大于1000ml正品乳液修护去屑止痒控油旗舰店官方旗舰 ,顺滑度不错,9,1
594203333226,小苍兰洗发水香味持久留香水男女去屑控油止痒护发素沐浴露套装膏 ,味道好闻,988,1
594203333226,小苍兰洗发水香味持久留香水男女去屑控油止痒护发素沐浴露套装膏 ,质量很好,225,1
594203333226,小苍兰洗发水香味持久留香水男女去屑控油止痒护发素沐浴露套装膏 ,便宜,166,1
594203333226,小苍兰洗发水香味持久留香水男女去屑控油止痒护发素沐浴露套装膏 ,清洁度强,151,1
594203333226,小苍兰洗发水香味持久留香水男女去屑控油止痒护发素沐浴露套装膏 ,物流快,123,1
594203333226,小苍兰洗发水香味持久留香水男女去屑控油止痒护发素沐浴露套装膏 ,味道不好闻,102,-1
532906826419,丝域（化妆品） 头皮清洁乳 ,质量不错,26,1
532906826419,丝域（化妆品） 头皮清洁乳 ,清洁度强,24,1
532906826419,丝域（化妆品） 头皮清洁乳 ,服务态度好,16,1
532906826419,丝域（化妆品） 头皮清洁乳 ,包装挺好,13,1
532906826419,丝域（化妆品） 头皮清洁乳 ,很便宜,12,1
532906826419,丝域（化妆品） 头皮清洁乳 ,质量一般,3,-1
575242550232,HairRecipe发之食谱无花果无硅油控油去油洗发水护发素530套装 ,味道好闻,1554,1
575242550232,HairRecipe发之食谱无花果无硅油控油去油洗发水护发素530套装 ,控油系列,429,1
575242550232,HairRecipe发之食谱无花果无硅油控油去油洗发水护发素530套装 ,很划算,387,1
575242550232,HairRecipe发之食谱无花果无硅油控油去油洗发水护发素530套装 ,清洁度强,275,1
575242550232,HairRecipe发之食谱无花果无硅油控油去油洗发水护发素530套装 ,物流快,254,1
575242550232,HairRecipe发之食谱无花果无硅油控油去油洗发水护发素530套装 ,味道不好闻,62,-1
535908343223,多芬洗发水滋养水润修护700ml洗发乳护发素套装男女士洗护套包邮 ,划算,43,1
535908343223,多芬洗发水滋养水润修护700ml洗发乳护发素套装男女士洗护套包邮 ,气味不错,40,1
535908343223,多芬洗发水滋养水润修护700ml洗发乳护发素套装男女士洗护套包邮 ,送了赠品,20,1
535908343223,多芬洗发水滋养水润修护700ml洗发乳护发素套装男女士洗护套包邮 ,快递不错,19,1
535908343223,多芬洗发水滋养水润修护700ml洗发乳护发素套装男女士洗护套包邮 ,顺滑度不错,18,1
535908343223,多芬洗发水滋养水润修护700ml洗发乳护发素套装男女士洗护套包邮 ,质量一般,4,-1
547167298636,【屈臣氏】施华蔻beology赋芮深海臻润洗护套装（洗发+润发)400ml ,气味不错,8,1
547167298636,【屈臣氏】施华蔻beology赋芮深海臻润洗护套装（洗发+润发)400ml ,顺滑度不错,5,1
547167298636,【屈臣氏】施华蔻beology赋芮深海臻润洗护套装（洗发+润发)400ml ,质量不错,4,1
547167298636,【屈臣氏】施华蔻beology赋芮深海臻润洗护套装（洗发+润发)400ml ,物流快,3,1
547167298636,【屈臣氏】施华蔻beology赋芮深海臻润洗护套装（洗发+润发)400ml ,质量一般,3,-1
527093328880,伊卡璐 洋甘菊修护柔亮无硅油洗发露 ,气味不错,56,1
527093328880,伊卡璐 洋甘菊修护柔亮无硅油洗发露 ,质量不错,12,1
527093328880,伊卡璐 洋甘菊修护柔亮无硅油洗发露 ,实惠,11,1
527093328880,伊卡璐 洋甘菊修护柔亮无硅油洗发露 ,洗发水好用,9,1
527093328880,伊卡璐 洋甘菊修护柔亮无硅油洗发露 ,物流快,9,1
527093328880,伊卡璐 洋甘菊修护柔亮无硅油洗发露 ,气味一般,8,-1
579212606320,杨幂力荐Lux力士桃花沁香洗发水护发素男女士套装500ml*2 ,气味不错,98,1
579212606320,杨幂力荐Lux力士桃花沁香洗发水护发素男女士套装500ml*2 ,实惠,29,1
579212606320,杨幂力荐Lux力士桃花沁香洗发水护发素男女士套装500ml*2 ,顺滑度不错,18,1
579212606320,杨幂力荐Lux力士桃花沁香洗发水护发素男女士套装500ml*2 ,物流快,15,1
579212606320,杨幂力荐Lux力士桃花沁香洗发水护发素男女士套装500ml*2 ,质量不错,10,1
579212606320,杨幂力荐Lux力士桃花沁香洗发水护发素男女士套装500ml*2 ,气味一般,5,-1
586674056395,满婷 满婷洗发水 ,质量不错,1137,1
586674056395,满婷 满婷洗发水 ,气味不错,728,1
586674056395,满婷 满婷洗发水 ,实惠,464,1
586674056395,满婷 满婷洗发水 ,快递不错,352,1
586674056395,满婷 满婷洗发水 ,洗发露不错,261,1
586674056395,满婷 满婷洗发水 ,质量一般,55,-1
540713116041,多芬滋养洗发水洗发露液洗头膏护发素持久留香家庭套装男女士正品 ,气味不错,63,1
540713116041,多芬滋养洗发水洗发露液洗头膏护发素持久留香家庭套装男女士正品 ,便宜,55,1
540713116041,多芬滋养洗发水洗发露液洗头膏护发素持久留香家庭套装男女士正品 ,质量很好,29,1
540713116041,多芬滋养洗发水洗发露液洗头膏护发素持久留香家庭套装男女士正品 ,顺滑度不错,23,1
540713116041,多芬滋养洗发水洗发露液洗头膏护发素持久留香家庭套装男女士正品 ,快递不错,17,1
540713116041,多芬滋养洗发水洗发露液洗头膏护发素持久留香家庭套装男女士正品 ,气味一般,7,-1
536238585235,Selsun 去屑洗发水-通用型 ,质量不错,880,1
536238585235,Selsun 去屑洗发水-通用型 ,服务态度好,211,1
536238585235,Selsun 去屑洗发水-通用型 ,快递不错,203,1
536238585235,Selsun 去屑洗发水-通用型 ,洗发水不错,176,1
536238585235,Selsun 去屑洗发水-通用型 ,气味不错,170,1
536238585235,Selsun 去屑洗发水-通用型 ,气味一般,128,-1
540205144123,徽歌 小黑裙香水洗发水+沐浴露 ,气味不错,308,1
540205144123,徽歌 小黑裙香水洗发水+沐浴露 ,划算,127,1
540205144123,徽歌 小黑裙香水洗发水+沐浴露 ,质量不错,124,1
540205144123,徽歌 小黑裙香水洗发水+沐浴露 ,服务态度好,80,1
540205144123,徽歌 小黑裙香水洗发水+沐浴露 ,快递不错,70,1
540205144123,徽歌 小黑裙香水洗发水+沐浴露 ,气味一般,30,-1
39242557794,COCOESSENCE/遇见香芬 水润蛋白滋养双效香芬洗发露 ,气味不错,918,1
39242557794,COCOESSENCE/遇见香芬 水润蛋白滋养双效香芬洗发露 ,很便宜,216,1
39242557794,COCOESSENCE/遇见香芬 水润蛋白滋养双效香芬洗发露 ,质量很好,211,1
39242557794,COCOESSENCE/遇见香芬 水润蛋白滋养双效香芬洗发露 ,物流快,139,1
39242557794,COCOESSENCE/遇见香芬 水润蛋白滋养双效香芬洗发露 ,顺滑度不错,123,1
39242557794,COCOESSENCE/遇见香芬 水润蛋白滋养双效香芬洗发露 ,气味一般,58,-1
557504582684,日本熊野油脂去屑男女柔顺顺滑洗发水修复干枯毛躁护发素套装正品 ,气味不错,112,1
557504582684,日本熊野油脂去屑男女柔顺顺滑洗发水修复干枯毛躁护发素套装正品 ,很便宜,85,1
557504582684,日本熊野油脂去屑男女柔顺顺滑洗发水修复干枯毛躁护发素套装正品 ,包装不错,60,1
557504582684,日本熊野油脂去屑男女柔顺顺滑洗发水修复干枯毛躁护发素套装正品 ,质量好,54,1
557504582684,日本熊野油脂去屑男女柔顺顺滑洗发水修复干枯毛躁护发素套装正品 ,物流快,40,1
557504582684,日本熊野油脂去屑男女柔顺顺滑洗发水修复干枯毛躁护发素套装正品 ,质量一般,11,-1
591765706530,Hair Recipe发之食无硅油无花果/蜂蜜/苹果姜/扁桃仁洗发水280ml ,味道好闻,12,1
591765706530,Hair Recipe发之食无硅油无花果/蜂蜜/苹果姜/扁桃仁洗发水280ml ,控油效果不错的,5,1
591765706530,Hair Recipe发之食无硅油无花果/蜂蜜/苹果姜/扁桃仁洗发水280ml ,清洁度强,4,1
557116302419,澳宝 香氛洗发精华乳(红参健发强韧） ,气味不错,6874,1
557116302419,澳宝 香氛洗发精华乳(红参健发强韧） ,很便宜,2163,1
557116302419,澳宝 香氛洗发精华乳(红参健发强韧） ,顺滑度不错,1786,1
557116302419,澳宝 香氛洗发精华乳(红参健发强韧） ,质量好,1610,1
557116302419,澳宝 香氛洗发精华乳(红参健发强韧） ,洗发水很香,1088,1
557116302419,澳宝 香氛洗发精华乳(红参健发强韧） ,气味一般,643,-1
579198871964,韵の堂 薑黄防脱洗发露 ,味道好闻,1145,1
579198871964,韵の堂 薑黄防脱洗发露 ,质量好,930,1
579198871964,韵の堂 薑黄防脱洗发露 ,很便宜,706,1
579198871964,韵の堂 薑黄防脱洗发露 ,物流快,504,1
579198871964,韵の堂 薑黄防脱洗发露 ,清洁度强,349,1
579198871964,韵の堂 薑黄防脱洗发露 ,质量一般,45,-1
564712087783,丝域姜暖洗发露洗发水护发素套装滋养头皮强韧发根男女士生姜控油 ,划算,43,1
564712087783,丝域姜暖洗发露洗发水护发素套装滋养头皮强韧发根男女士生姜控油 ,质量不错,32,1
564712087783,丝域姜暖洗发露洗发水护发素套装滋养头皮强韧发根男女士生姜控油 ,味道好闻,19,1
564712087783,丝域姜暖洗发露洗发水护发素套装滋养头皮强韧发根男女士生姜控油 ,服务态度好,15,1
564712087783,丝域姜暖洗发露洗发水护发素套装滋养头皮强韧发根男女士生姜控油 ,清洁度强,14,1
564712087783,丝域姜暖洗发露洗发水护发素套装滋养头皮强韧发根男女士生姜控油 ,味道不好闻,3,-1
580134440098,润丝丹 首邦防脱育发液（洗） ,质量不错,387,1
580134440098,润丝丹 首邦防脱育发液（洗） ,划算,369,1
580134440098,润丝丹 首邦防脱育发液（洗） ,味道好闻,308,1
580134440098,润丝丹 首邦防脱育发液（洗） ,物流快,218,1
580134440098,润丝丹 首邦防脱育发液（洗） ,控油好,157,1
580134440098,润丝丹 首邦防脱育发液（洗） ,味道不好闻,30,-1
19662049951,草方 祛屑套装 ,质量不错,327,1
19662049951,草方 祛屑套装 ,气味不错,110,1
19662049951,草方 祛屑套装 ,洗头膏很好,58,1
19662049951,草方 祛屑套装 ,快递不错,43,1
19662049951,草方 祛屑套装 ,服务态度好,32,1
19662049951,草方 祛屑套装 ,小贵,42,-1
591426485383,丝蕴无硅水润洗发水套装750ml*2无硅油家庭装洗发露女控油护发素 ,划算,21,1
591426485383,丝蕴无硅水润洗发水套装750ml*2无硅油家庭装洗发露女控油护发素 ,气味不错,16,1
591426485383,丝蕴无硅水润洗发水套装750ml*2无硅油家庭装洗发露女控油护发素 ,质量不错,6,1
591426485383,丝蕴无硅水润洗发水套装750ml*2无硅油家庭装洗发露女控油护发素 ,包装挺好,5,1
591426485383,丝蕴无硅水润洗发水套装750ml*2无硅油家庭装洗发露女控油护发素 ,快递不错,4,1
550161505425,利尻昆布 白发用植物染发香波 ,质量很好,20,1
550161505425,利尻昆布 白发用植物染发香波 ,温和不刺激,8,1
550161505425,利尻昆布 白发用植物染发香波 ,味道好闻,8,1
550161505425,利尻昆布 白发用植物染发香波 ,清洁度强,5,1
550161505425,利尻昆布 白发用植物染发香波 ,快递不错,5,1
550161505425,利尻昆布 白发用植物染发香波 ,质量一般,11,-1
571948426836,PAHKEN/帕克 女人香洗发水加护发素 ,味道好闻,1711,1
571948426836,PAHKEN/帕克 女人香洗发水加护发素 ,质量很好,506,1
571948426836,PAHKEN/帕克 女人香洗发水加护发素 ,便宜,426,1
571948426836,PAHKEN/帕克 女人香洗发水加护发素 ,包装很好,290,1
571948426836,PAHKEN/帕克 女人香洗发水加护发素 ,清洁度强,267,1
571948426836,PAHKEN/帕克 女人香洗发水加护发素 ,味道不好闻,79,-1
569124086151,Aussie袋鼠丰盈洗发水300ml+护发素250ml进口套装蓬松女 ,味道好闻,547,1
569124086151,Aussie袋鼠丰盈洗发水300ml+护发素250ml进口套装蓬松女 ,质量很好,224,1
569124086151,Aussie袋鼠丰盈洗发水300ml+护发素250ml进口套装蓬松女 ,便宜,185,1
569124086151,Aussie袋鼠丰盈洗发水300ml+护发素250ml进口套装蓬松女 ,控油很棒哦,181,1
569124086151,Aussie袋鼠丰盈洗发水300ml+护发素250ml进口套装蓬松女 ,快递不错,168,1
