id,商品名称,销售价格,月销量,评论量,商品人气值
562341556739,RYO/吕 红吕洗发水 ,65,820,2797,5590
576115315055,阿道夫 轻柔丝滑洗发水 ,78,550,323,622
525333079159,阿道夫 洗护沐(祛屑+护发+魅力) ,182,21,526,2312
559700412783,【直营】RYOE 黄吕 防脱固发滋养洗发水 500毫升*3瓶 ,149,158,2157,12244
589190438938,CLEAR/清扬 去屑净透洗发露(海藻菁萃型) ,59.8,302,79,82
538971274196,包邮CLEAR/清扬去屑洗发露樱花沁爽型洗发水男女士樱花香氛1000克 ,62.9,423,938,1060
527895746499,清扬去屑洗发水露樱花香氛持久留香洗头膏男女士旗舰店官方旗舰 ,69.9,604,13191,9574
560319367153,沙宣 臻养裸感洗发水2支装 ,139,835,12899,24594
520807771447,联合利华多芬密集滋养修护洗发水精华护发素男女士正品700ml*2 ,79.9,566,4824,22022
528278617580,L＇oreal/欧莱雅 男士去屑洗发露(薄荷酷爽) ,25,525,3522,674
529055075035,L＇oreal/欧莱雅 男士去屑洗发露(氨基酸养护) ,65,223,1962,1540
546606413632,Dove/多芬 密集滋养修护洗发乳 ,79.8,853,5978,5578
521736799524,霸王 防脱洗发液滋润调理型 ,59,733,2725,4726
575053770486,沙宣 沙宣养根韧发裸感洗发水 ,119.9,1488,6097,13850
545947000081,SEEYOUNG/滋源 生姜劲能强韧养护洗头水(男士) ,109,644,6225,8474
39280073498,欧莱雅洗发水男女去屑止痒控油无硅洗发露护发素600ml*2洗护套装 ,128,229,2581,6146
532059389990,霸王 无患子平衡控油洗发液 ,49,883,8357,11856
583275098441,【大油头】triptychoflune三谷氨基酸洗发水护发素套装女控油无硅 ,158,24968,16745,60816
561911693317,霸王 霸王乌发固发洗发液1L ,59,1306,602,1618
589655349740,芭思蔻氨基酸香水洗发水露护发素蓬松清爽控油去屑止痒洗护女套装 ,148,2818,1059,14394
596743676727,日本花王Merit儿童洗发水新生儿弱酸性无硅油泡沫洗发水300ml*2瓶 ,108,140,18,56
570891096857,【贝亲官方专卖店】贝亲桃叶精华婴儿洗发水沐浴露二合一500ml ,49.9,1927,1035,1942
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,158,6318,6080,17556
576891611014,潘婷洗发水大于1000ml正品乳液修护去屑止痒控油旗舰店官方旗舰 ,39.9,704,911,1320
594203333226,小苍兰洗发水香味持久留香水男女去屑控油止痒护发素沐浴露套装膏 ,39,32633,12651,29394
532906826419,丝域（化妆品） 头皮清洁乳 ,89,1770,5886,16988
575242550232,HairRecipe发之食谱无花果无硅油控油去油洗发水护发素530套装 ,149,18370,30870,168310
535908343223,多芬洗发水滋养水润修护700ml洗发乳护发素套装男女士洗护套包邮 ,39.8,646,10663,14586
547167298636,【屈臣氏】施华蔻beology赋芮深海臻润洗护套装（洗发+润发)400ml ,207,43,881,5106
527093328880,伊卡璐 洋甘菊修护柔亮无硅油洗发露 ,53,1995,1121,5078
579212606320,杨幂力荐Lux力士桃花沁香洗发水护发素男女士套装500ml*2 ,89.9,723,967,2090
586674056395,满婷 满婷洗发水 ,56,4408,6357,11090
540713116041,多芬滋养洗发水洗发露液洗头膏护发素持久留香家庭套装男女士正品 ,49.9,669,13701,14136
536238585235,Selsun 去屑洗发水-通用型 ,69,19833,24352,54522
540205144123,徽歌 小黑裙香水洗发水+沐浴露 ,66,1171,13682,15032
